id,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
0,24.169882059499997,23.737937084899997,23.972209315,24.5105879675,23.741985535900003,23.983244998632614,23.8620443487,24.2987200716,24.083134415103952,23.8315022608,24.0452035902,24.155799111988408,24.0600111895,24.060209298689625,24.125911162672775,23.9921524996,24.079613670920843,23.8731309379,24.697810570500003,24.724520348800002
1,23.4484335756,23.0036730245,24.0586594227,23.6174699648,23.639135288200002,23.6408992625602,22.6674664062,23.4287712725,23.984977458000003,23.531191337600003,23.947359353499998,24.630441381199997,24.3887771404,24.2199649734,23.707683522343824,23.3687693821,23.9650009052,23.492704988000003,24.1336263759,24.263663082399997
6,24.760614015399998,24.0777489588,23.555094825900003,24.322893957399998,24.419836445,24.098662251910724,23.7926986935,24.1466643469,23.9953296115,24.2294200522,24.507905941300002,23.664503728000003,24.123924203,23.8372987302,24.4399704433,24.2086326522,24.1548862237,23.976185430799998,24.0095230153,23.787261794699997
8,23.6463471139,24.3500195699,24.0945738004,23.7884201986,23.4463963038,24.231615934,23.9466184378,23.830408555230598,23.7019172433,23.787124407156128,23.863569405725315,23.6308579014,23.165291154499997,23.7468773624,24.508526038499998,23.6182259986,23.9573376699,23.762020724299997,23.816927897422925,23.7281771689
10,24.447317755100002,23.2002092941,22.7546129325,23.086982491100002,23.120123207,23.007920930300003,23.5678275402,22.817334366500003,23.0177859279,23.1593605417,23.2210586358,23.0463521086,23.0118263471,23.3530032794,23.0378453478,22.844026993499998,23.3064749848,23.196440723131595,22.751029625700003,23.3527133346
12,22.6904725169,20.7942542619,22.211745355399998,22.20387897420724,22.6263229527,20.8137911673,21.9098764948,22.977944059000002,21.5402961521,21.5848236126,23.340494266500002,21.647551128200003,21.0907791831,22.418012977199997,22.3687518689,21.7234964197,21.6818054795,23.1239089904,21.784641032199996,22.0199881582
21,23.775109834899997,24.954166289699998,23.8812222477,23.6320275283,24.4199888074,24.372968556100002,24.120226658919155,23.7018882507,24.112352690399998,24.062062649,24.11604838060217,24.233903635,25.6538411379,23.7066558482,24.01312460876198,23.383385005,24.248590870500003,24.4134606389,23.677922312399996,23.619410314299998
22,23.271040365300003,23.24432387825453,23.1652659796,23.2570836123305,23.327373139299997,23.346071965700002,23.1804001362,23.1748749975,22.8929995644,23.2869455146,23.2135395577,23.242967797800002,23.0871618443,23.220769435900003,23.2586419152,23.0118909869,23.3251308535,23.3824927667,23.252711699499997,23.4509387022
23,23.420297031281727,23.2210346337,23.39038953696193,23.37336495957796,23.3174710975,23.6752667154,23.403066094685606,23.399426621359858,23.395221493855654,23.4145445328,23.405766649558895,23.0131457337,24.218825241199998,23.562220655500003,23.1067164287,23.368506616074335,23.0907569513,23.101407594,23.38806266984071,23.5334039148
26,23.528762866300003,23.748466588099998,23.66054299216546,23.7467530511,23.2401686125,23.659648651799998,23.633160923747916,23.7256837804,23.648035317221993,23.4462643177,23.65482343700604,23.68134196107747,23.8346006243,23.601778136999997,23.65510679966183,23.641015057840157,23.5823043242,23.882206369400002,23.651377335770885,23.667095493335758
27,24.669813404899998,25.164932749899997,24.4705354404,24.8945304157,24.0080928062,24.4152871032,24.300141928000002,24.1646111636,24.386642466678527,24.7787334358,24.3368604473,24.4337358797,24.3553329125,24.43125332658237,24.5912669534,24.397573736055822,23.9740579349,24.812275410300003,24.0666879873,24.0627703729
29,24.8193704721,24.108443123402328,24.10262855424559,24.4372126375,23.9205959662,23.9239307546,24.172607744565607,24.210953655100003,23.4481962201,24.134702117699998,24.14403097294508,24.144027449079882,23.560550361399997,24.308576657600003,24.073741303200002,24.166972749299998,24.4340563503,24.0525206296,24.135748389273786,24.5409335959
31,22.6469349106,23.0692790231,23.040518209000002,22.7881160789,23.1527720227,22.744311171,23.026004390900003,23.1210811602,22.873273233400003,22.873605193600003,22.7813230808,22.9345199352,23.1104756867,22.9047657009,22.95874070902419,22.776390956500002,22.639407644699997,23.3344429504,23.0384070056,23.0266457235
37,23.001838089899998,23.0846571682906,23.129358074414984,22.470641577800002,23.096936513200003,23.120830618586346,23.06864985820833,23.2983399242,22.9728392055,22.8437787552,23.094616061608555,23.094949590170632,23.8354081006,23.4891125465,22.610704277800004,23.293423346999997,23.048991968800003,22.892488503200003,23.076895723099998,22.82252117
38,24.7762346877,24.102439815,23.979032573,24.220574285999998,24.749870730500003,24.403217574499998,24.29733607645681,24.42585457,24.25499614593743,24.3949514685,24.1830707452,24.4617074198,23.812196995100003,24.489826679,23.872191457899998,24.290986609570172,24.277197489200002,24.308913523490137,24.29228274841537,24.428236027399997
42,23.6038172164,23.884442924800002,22.9270872731,23.592631437399998,23.10839999,24.311457011999998,23.439094304,23.5379776061,23.1750118352,24.1182649388,23.8012690786,23.5661584505,23.8084611498,22.9483914103,24.0371172752,23.3571622513,23.7447953192,23.5429251129,23.978379176599997,23.6886221354
43,24.409922542199997,25.1313310484,24.6257930278,24.367776521850047,23.79269812,24.8767100645,24.2122830537,24.436925913400003,24.1948681487,24.6432312086,24.3415935756,24.4839058056,24.400508037474776,23.7293320821,24.595127124,24.391882179299998,24.37516692182772,24.2611917622,24.0965999091,24.614987026799998
44,22.542477587199997,21.2454627068,20.4402686492,21.8278319831,21.6730134691,22.171527348,21.611957830500003,21.4084958915,23.1765732084,21.9456472621,21.749947597800002,22.6754198307,21.061829267,21.2463160174,22.1967989127,22.691075402,22.0946133427,21.940929225312217,21.372832274100002,22.308464690100003
45,23.2899147177,22.615544485546376,21.880028100900002,22.667049720300003,22.670982805700003,22.68820792,22.681303972474144,22.4690411874,22.454805511300002,22.3334503858,23.2896685656,22.281025809099997,22.2782531304,21.8979221184,23.3914301991,22.526203274363823,22.6560365298,22.4866293898,22.1593053235,23.3953050023
46,24.104240687869474,24.1560851921,23.598865761,24.071124291180727,23.5709271911,24.051746928375408,24.0440111188,23.9192076304,24.0478933909,24.415494912600003,24.0612880116,24.194097113,24.072064845158284,24.0942002135,24.4530737094,24.046020816049495,24.3508326429,24.05164779707786,24.071291699009063,24.02618177
48,24.08248670136756,23.829542968000002,24.03189414896534,24.1471607045,23.8763426661,24.0002440481,24.023470433976172,24.1222077167,24.1272915156,23.6530597673,25.208184013,24.3503576924,23.3797754537,23.683854459000003,24.132737177317598,24.051391084600787,24.023286902619613,24.021698723925315,24.05809165860793,24.066092450314116
49,23.4078612525,23.2632109325,23.861493096599997,23.2532816421,23.085306496599998,24.4866753039,23.6225500659,23.7146170902,23.5577937665,23.6328793773,24.3468230359,23.448151480900002,23.8663851334,23.3925747707,23.040655829499997,22.910859018000004,23.973283173400002,23.55327398130627,23.5193122065,23.6476253654
50,24.0839870386,24.4644496009,24.415413693,24.1675558138,24.0550217559,24.13732219852497,24.283259572800002,23.8261086482,24.141757647647,24.1088549076,24.1701926302,24.000563061599998,24.09913811,24.2800614802,24.2742203409,24.1846430972,24.17832818817317,24.1907788167,24.15470999951315,24.1177903587
54,23.796215672600002,23.904815115599998,23.9673184039,23.9744494825,24.1270364614,23.86872621516084,23.889899471595772,23.906464018316207,23.748146076199998,23.7084962966,23.8116222516,23.914561844259097,23.873014202430618,24.0361204555,23.9855529073,23.9321825457,23.90311302322977,23.9052830387,23.89027195060367,23.7520174183
55,24.04972435759863,24.063843855549425,24.09961246700133,24.419817828200003,24.054853487428495,23.8512260171,24.064332253384052,23.947655957600002,24.2410446154,24.087902367059247,23.6015875006,24.057847898800002,24.064146329421074,24.0229683025,24.04618119212807,23.9823299704,24.4267357037,23.972256887100002,24.1566916002,24.5749017571
56,24.034608482800003,23.4045876462,23.3823596773,23.585230293899997,23.727239708000003,23.801059873076444,23.638631733,24.3202302196,23.667863248000003,24.030945908000003,24.0574493815,23.2434714256,24.802936277199997,23.9667445344,23.392053740100003,24.009963688200003,24.074712510700003,23.642514147600004,23.82616980445697,23.8862411396
57,24.5577056902,24.5160977121,24.2202655351,25.1291108134,24.052691271500002,23.7540502523,24.270877960900002,24.593231317595965,24.468699171,24.5947726052,24.9858776225,24.2878186079,24.483248640240255,24.7361989797,24.520466758,24.8525282164,24.690315412600004,24.50178055952369,24.9207099228,24.6546857293
58,24.0462860302,24.068323017991617,24.0827943079,24.0486115976,23.913411494499996,23.930310577600004,24.6775558983,23.432150320399998,24.0050933233,23.843784332,24.3518139863,23.9148983573,24.0929672771,24.0812326121,24.01780544610812,23.8856855198,24.1334398829,24.1015879256,24.0423283739,24.062549790184793
60,23.7636375028,24.069731091199998,23.689136599504693,22.978241650100003,23.693741587673347,23.3089121983,23.808957132199996,23.73059747755782,23.611840896,23.649392654279897,25.1250545616,22.7776291387,23.679470402117516,23.334742093899997,23.73124335189873,23.751486306700002,23.688633954693447,23.676076912,23.676281356439898,23.6918800828
61,22.347622805900002,22.35638502745274,21.8842961281,22.328427272800003,22.213223830700002,22.36510851635048,22.1615270473,21.4488084742,22.6536103856,22.3989739527,21.830073003000003,22.691626039299997,22.6676236917,22.9054768649,21.9141632207,22.25385326239585,21.985953562800002,22.595970355,21.9650712766,22.4279587398
63,22.840287032,22.524713751999997,22.931372824,22.297314345900002,22.801811776199997,22.9763811261,22.692801945156212,22.69825277853538,22.8668451952,22.759084957638052,22.598498795500003,22.708090709486193,23.108459584499997,22.7764846219,22.563398181700002,22.801765570100002,22.7391266781,22.2918629511,22.278168256199997,22.403642884699998
66,22.9306798123,23.3799760596,23.297957293000003,22.8475885217,23.7397531328,22.5810567068,23.109570630049657,23.127225260085908,22.9879849073,23.189609926855745,23.177780080599998,23.14184290618242,22.6560479258,23.5469490601,23.123168525364758,22.7372729465,23.171907454810306,23.376349471999998,23.152570223977197,23.120398594202197
68,23.421576281947793,23.43297280241411,23.492652226300002,23.4258198018,23.48126348164335,23.057939605100003,23.401798046137976,23.478939438417825,23.57754396467198,24.4796221321,23.422410812660264,23.388367481,23.420399428000003,23.242301109899998,23.429348435267276,24.004369135100003,23.8857984007,23.0105357279,22.9844129595,23.095397892199998
69,22.729299600884644,22.65720139965812,22.705744845199998,22.967040919499997,22.4218126287,22.484024785,22.770086624,22.3453251813,22.4528442754,22.718551115499036,22.678168061414695,22.692591408268935,22.691016114887773,22.506710181,22.70064161603049,22.6480738416,22.7923533555,22.700597535214662,22.535715302899998,22.7032331584
